"jurisdiccion_id","jurisdiccion_nombre","2009_cob_ 1_ dosis_12_meses","2009_cob_ 2_ dosis_ingreso_escolar","2010_cob_ 1_ dosis_12_meses","2010_cob_ 2_ dosis_ingreso_escolar","2011_cob_ 1_ dosis_12_meses","2011_cob_ 2_ dosis_ingreso_escolar","2012_cob_ 1_ dosis_12_meses","2012_cob_ 2_ dosis_ingreso_escolar","2013_cob_ 1_ dosis_12_meses","2013_cob_ 2_ dosis_ingreso_escolar","2014_cob_ 1_ dosis_al_12_meses","2014_cob_ 2_ dosis_ingreso_escolar","2015_cob_ 1_ dosis_12_meses","2015_cob_ 2_ dosis_ingreso_escolar","2016_cob_ 1_ dosis_12_meses","2016_cob_ 2_ dosis_ingreso_escolar","2017_cob_ 1_ dosis_12_meses","2017_cob_ 2_ dosis_ingreso_escolar","2018_cob_ 1_ dosis_12_meses","2018_cob_ 2_ dosis_ingreso_escolar","2019_cob_ 1_ dosis_12_meses","2019_cob_ 2_ dosis_ingreso_escolar"
6,"BUENOS AIRES",105.4,98.8,108.6,105.2,93,94.1,89.9,90.1,92,82.7,97.7,101,85.2,85.5,90.9,88.5,91.5,89.9,99.2,99.4,76.7,77.3
2,"CABA",95,95.3,96.5,90.1,91.6,103,92.6,91.5,82.9,90.5,83.8,86.8,73.6,70.5,83.5,76.1,81.7,80.8,97.7,99.7,93.6,78.3
10,"CATAMARCA",112.7,95.6,93.8,92.7,82.7,74.2,85.5,78.8,86.6,69.1,89.9,96.6,98.4,84.5,95,85.2,90.3,89.7,96,110.8,89.8,95.2
22,"CHACO",107.1,87.4,100.7,106.6,104.4,89.4,94,89,99.9,68.7,99.2,85.6,100.3,83.1,91.1,76.7,97.9,112.6,95.3,92.6,94.2,83.9
26,"CHUBUT",92.6,106.1,93.7,66.4,101.1,98.1,98.4,90.7,90.9,112.2,103.2,102.2,98.1,109.4,96,99.7,94.6,95,99.1,101.8,96.9,86.3
14,"CORDOBA",117.6,95.4,122.2,100.9,110.4,91.5,100.1,94,103,91,95.5,101.7,92.1,92.4,90.9,94.4,98.2,88.1,90.4,111.3,91.9,86.4
18,"CORRIENTES",88.9,71.6,101.2,91.3,92.6,91.3,102.1,97.5,92.8,101.4,85.1,99.8,80.8,73.9,84.4,82.1,77.5,72.9,98,114.5,88.1,64
30,"ENTRE RIOS",92.9,85,93.3,89.7,84.4,85.6,90,87.6,94.7,92.4,88.9,86.5,70.7,61.2,70,62.5,74.4,66.8,77.2,86.2,82.5,87.6
34,"FORMOSA",89.3,100.6,106.4,133.8,89.4,89,91.2,92.3,92.3,82.8,92,97,99.2,94,97.6,99.3,91.7,97.9,86.9,96.1,89.5,90.8
38,"JUJUY",94.5,81.1,104.9,84.9,79.9,73,107.9,95.8,100.2,58,108.1,85.6,101.4,102.9,107.8,122,96.3,120.2,101,120,99.5,107.8
42,"LA PAMPA",96,104.9,85.6,81.1,92.1,96.8,97.4,101.3,98,117,101.3,106.7,97.6,97.8,97.6,101.6,97.3,105.4,94.7,107.3,100.5,104.8
46,"LA RIOJA",86.8,97.8,85.4,91.7,90,87.8,87.3,82.4,81.1,74.4,78.3,74.2,85,76.5,91.9,86.1,78.2,81.3,84.5,107.6,85.4,75.6
50,"MENDOZA",103.9,96.5,97.1,91.4,98.6,96.7,103.2,82.9,92.2,93.3,97.9,97.3,96.8,99.5,92.4,88.7,93,94,98.8,97.5,99.2,94.2
54,"MISIONES",95.3,91.6,100.7,96.7,96.1,95.8,90.2,68.6,95,67.8,95.7,77.1,92.8,73.2,89.8,79,90.1,81.6,91.4,91.7,95.1,85.2
58,"NEUQUEN",106.9,138.5,107.5,111.7,104.1,104.7,104.8,99.8,96.2,56.4,94.6,114.4,91,91.8,94.4,90.1,95.6,97.3,95.2,108.1,99.8,101.3
62,"RIO NEGRO",106.9,114.3,107.6,101.8,106.3,97.4,95.5,99.6,99.1,107.2,87.5,108.5,90.1,89.1,90.5,81.1,83.1,87.6,84.9,107.3,77.9,85.4
66,"SALTA",89.8,81,93.4,82.8,96.5,82,103.3,90.3,102.5,85.3,94,100,103.2,110.1,100.4,104,92,110,93.4,104.3,101.3,115.6
70,"SAN JUAN",114.8,99.4,89.3,75.3,95.5,84.2,99.9,90.4,95.3,96.4,86.8,92.2,90.2,86.5,88.5,84.2,91,85.8,81.9,93.4,92.8,87.3
74,"SAN LUIS",105.9,101.2,100.5,89.5,100.2,94.9,101.3,107,98.8,96.1,104,110.5,100.5,101.5,97.5,105.3,93.7,110.9,101.3,135.4,101.2,119.7
78,"SANTA CRUZ",109,120.6,109.7,132.2,109.8,110.2,106.7,113.6,113.9,87.9,101.9,68.1,93.9,90.8,99.9,83,90.5,92.2,84.8,102.9,96.8,91.8
82,"SANTA FE",108.4,101.3,110,90,98,73.1,93.2,84,85.8,59.6,91.9,82.8,91.7,87.4,85.9,87.2,84.7,90.8,87.1,106.7,83.9,83.1
86,"SANTIAGO DEL ESTERO",96.8,86.3,87,72,93.7,82.2,99.1,80.8,93,81.5,79,74.8,100.6,90.3,80.9,84.5,106.7,116.9,91.3,85.6,94.9,93.2
94,"TIERRA DEL FUEGO",99.3,107.3,95.1,109.8,99.3,98.3,99.9,101.3,104.8,105,95.6,114.4,90.2,95.8,81.8,92.1,90.5,120.1,88,119,102.1,95.4
90,"TUCUMAN",96.4,102.7,97.3,79.1,94.8,81.4,94.3,87.9,103.2,94.3,102.5,97.7,106.4,87.5,105.3,95.3,86.8,83.3,92.3,97.2,92.4,89.2
